,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
28,2txt - natural language generation GmbH,"2txt - natural language generation GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. 2txt - natural language generation GmbH has        2 total employees across all of its locations and generates $265,540 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$265,540",2,2.35
21,4traffic SET GmbH,"4traffic SET GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Scientific Research and Development Services Industry. 4traffic SET GmbH has        4 total employees across all of its locations and generates $477,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$477,000",,
100,Abfallverwertung Leipzig GmbH (AVL),"Abfallverwertung Leipzig GmbH (AVL) is located in Leipzig, Sachsen, Germany and is part of the Remediation and Other Waste Management Services Industry. Abfallverwertung Leipzig GmbH (AVL) has       64 employees at this location and generates $11.84 million in sales (USD).  There are       98 companies in the Abfallverwertung Leipzig GmbH (AVL) corporate family.",64,$11.84 million,1,2.65
121,Accenture GmbH,"Accenture GmbH is located in Kronberg im Taunus, Hessen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Accenture GmbH has    2,500 employees at this location and generates $707.88 million in sales (USD).  There are    1,212 companies in the Accenture GmbH corporate family.","2,500",$707.88 million,2,2.23
62,AITHON Ventures UG (haftungsbeschränkt),"AITHON Ventures UG (haftungsbeschränkt) is located in Grünwald, Bayern, Germany and is part of the Management of Companies and Enterprises Industry. AITHON Ventures UG (haftungsbeschränkt) has        2 total employees across all of its locations and generates $355,828 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the AITHON Ventures UG (haftungsbeschränkt) corporate family.",,"$355,828",3,2.73
12,Aktien-Gesellschaft der Dillinger Hüttenwerke (Société Anonyme des Forges et Aciéries de Dilling),"Aktien-Gesellschaft der Dillinger Hüttenwerke (Société Anonyme des Forges et Aciéries de Dilling) is located in Dillingen, Saarland, Germany and is part of the Architectural and Structural Metals Manufacturing Industry. Aktien-Gesellschaft der Dillinger Hüttenwerke (Société Anonyme des Forges et Aciéries de Dilling) has    4,731 employees at this location and generates $1.69 billion in sales (USD).  There are       31 companies in the Aktien-Gesellschaft","4,731",$1.69 billion,1,2.48
55,ambeRoad Tech GmbH,"ambeRoad Tech GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. ambeRoad Tech GmbH has        7 employees at this location and generates $1.31 million in sales (USD). (Sales figure is modelled). ",7,$1.31 million,3,2.35
95,AOK Nordost - Die Gesundheitskasse,"AOK Nordost - Die Gesundheitskasse is located in Potsdam, Brandenburg, Germany and is part of the Offices of Physicians Industry. AOK Nordost - Die Gesundheitskasse has    5,620 employees at this location and generates $288.69 million in sales (USD). (Sales figure is modelled). There are       15 companies in the AOK Nordost - Die Gesundheitskasse corporate family.","5,620",$288.69 million,2,1.72
8,Astyx MPS GmbH,"Astyx MPS GmbH is located in Ottobrunn, Bayern, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. Astyx MPS GmbH has       15 total employees across all of its locations and generates $2.42 million in sales (USD). (Employees and Sales figures are modelled). There are        5 companies in the Astyx MPS GmbH corporate family.",15,$2.42 million,2,2.48
38,B. Braun Melsungen Aktiengesellschaft,"
   For more than 170 years B. Braun Melsungen has made supplies to treat what ails you. The company makes a wide variety of medical and surgical equipment for clients all over the world. It operates through four divisions: Hospital Care (anesthesia and infusion equipment, IV solutions, and catheters); Aesculap (surgical instruments, sutures, orthopedic implants); Out Patient Market (diabetes, wound care, and nutrition products); and B. Braun Avitum",,$8.78 billion,2,1.72
29,Batix Software GmbH,"Batix Software GmbH is located in Saalfeld/Saale, Thüringen, Germany and is part of the Computer Systems Design and Related Services Industry. Batix Software GmbH has       20 employees at this location and generates $324,549 in sales (USD). (Sales figure is estimated). There are        2 companies in the Batix Software GmbH corporate family.",20,"$324,549",1,2.35
68,Bauhaus - Universität Weimar,"Bauhaus - Universität Weimar is located in Weimar, Thüringen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Bauhaus - Universität Weimar has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are        6 companies in the Bauhaus - Universität Weimar corporate family.",,$4.77 million,1,2.23
125,Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL),"Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL) is located in Erlangen, Bayern, Germany and is part of the Architectural, Engineering, and Related Services Industry. Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL) has       30 total employees across all of its locations and generates $2.53 million in sales (USD). (Employees and Sales figures are modelled). There are    5,552 companies in the Bayerisches",,$2.53 million,1,2.23
26,Bayes Esports Solutions GmbH,"Bayes Esports Solutions GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Bayes Esports Solutions GmbH has       36 employees at this location and generates $3.59 million in sales (USD). (Sales figure is estimated). There are        4 companies in the Bayes Esports Solutions GmbH corporate family.",36,$3.59 million,3,2.35
106,bd-a GmbH,"bd-a GmbH is located in Mainz, Rheinland-Pfalz, Germany and is part of the Computer Systems Design and Related Services Industry. bd-a GmbH has        5 total employees across all of its locations and generates $153,423 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the bd-a GmbH corporate family.",5,"$153,423",3,2.35
