,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
10,apic.ai GmbH,"apic.ai GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Architectural, Engineering, and Related Services Industry. apic.ai GmbH has        3 employees at this location and generates $441,000 in sales (USD). (Sales figure is modelled). ",3,"$441,000",2,2.23
24,datanizing GmbH,"datanizing GmbH is located in Schwarzenbruck, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. datanizing GmbH has        2 total employees across all of its locations and generates $165,225 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$165,225",2,2.35
19,DeepEyes GmbH,"DeepEyes GmbH is located in München, Bayern, Germany and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. DeepEyes GmbH has        3 total employees across all of its locations and generates $464,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$464,000",3,2.23
16,DeepL GmbH,"DeepL GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. DeepL GmbH has      100 employees at this location and generates $4.04 million in sales (USD). (Sales figure is estimated). There are        3 companies in the DeepL GmbH corporate family.",100,$4.04 million,2,2.35
30,Dennemeyer Octimine GmbH,"Dennemeyer Octimine GmbH is located in München, Bayern, Germany and is part of the Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) Industry. Dennemeyer Octimine GmbH has        3 total employees across all of its locations and generates $769,823 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        5 companies in the Dennemeyer Octimine GmbH corporate family.",3,"$769,823",3,2.73
15,Drehtechnik Jakusch GmbH,"Drehtechnik Jakusch GmbH is located in Saalfeld/Saale, Thüringen, Germany and is part of the Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing Industry. Drehtechnik Jakusch GmbH has       30 employees at this location and generates $4.09 million in sales (USD). (Sales figure is estimated). ",30,$4.09 million,1,2.48
23,energy4u GmbH,"energy4u GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. energy4u GmbH has      102 employees at this location and generates $24.84 million in sales (USD).  There are      840 companies in the energy4u GmbH corporate family.",102,$24.84 million,1,2.23
5,Flughafen Stuttgart GmbH,"Flughafen Stuttgart GmbH is located in Stuttgart, Baden-Württemberg, Germany and is part of the Support Activities for Air Transportation Industry. Flughafen Stuttgart GmbH has    2,091 total employees across all of its locations and generates $162.30 million in sales (USD).  There are    5,744 companies in the Flughafen Stuttgart GmbH corporate family.","2,029",$162.30 million,1,2.23
28,FRANKA EMIKA GmbH,"FRANKA EMIKA GmbH is located in München, Bayern, Germany and is part of the Other General Purpose Machinery Manufacturing Industry. FRANKA EMIKA GmbH has      140 employees at this location and generates $16.25 million in sales (USD). (Sales figure is estimated). There are        3 companies in the FRANKA EMIKA GmbH corporate family.",140,$16.25 million,1,2.48
0,FUSE-AI GmbH,"FUSE-AI GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. FUSE-AI GmbH has        6 employees at this location and generates $598,869 in sales (USD). (Sales figure is estimated). There are        2 companies in the FUSE-AI GmbH corporate family.",6,"$598,869",2,2.35
26,German Auto Labs GAL GmbH,"German Auto Labs GAL GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. German Auto Labs GAL GmbH has       41 employees at this location and generates $413,063 in sales (USD). (Sales figure is estimated). ",41,"$413,063",3,2.35
8,Ginkgo Analytics GmbH,"Ginkgo Analytics GmbH is located in Hamburg, Hamburg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Ginkgo Analytics GmbH has        3 total employees across all of its locations and generates $194,730 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are       32 companies in the Ginkgo Analytics GmbH corporate family.",3,"$194,730",2,2.23
14,HD Vision Systems GmbH,"HD Vision Systems GmbH is located in Heidelberg, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. HD Vision Systems GmbH has       18 employees at this location and generates $511,483 in sales (USD). (Sales figure is estimated). ",18,"$511,483",1,2.35
11,KONUX GmbH,"KONUX GmbH is located in München, Bayern, Germany and is part of the Architectural, Engineering, and Related Services Industry. KONUX GmbH has       70 employees at this location and generates $8.54 million in sales (USD). (Sales figure is estimated). ",70,$8.54 million,3,2.23
21,maiot GmbH,"maiot GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. maiot GmbH generates $3.80 million in sales (USD).  There are        3 companies in the maiot GmbH corporate family.",,$3.80 million,3,2.35
20,MonitorFish GmbH,"MonitorFish GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. MonitorFish GmbH has        4 employees at this location and generates $386,000 in sales (USD). (Sales figure is modelled). ",4,"$386,000",3,2.35
18,MotionsCloud GmbH,"MotionsCloud GmbH is located in München, Bayern, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. MotionsCloud GmbH has        2 total employees across all of its locations and generates $118,018 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$118,018",3,2.35
